title,description,price,stock_quantity,image_url,is_featured,is_active,category_name
Full Coverage Cross Stitch,A full coverage cross stitch project depicting a cozy European village.,39.70,3,https://via.placeholder.com/300x200?text=Full+Coverage+Cross+Stitch,true,true,Fiber Crafts
Handwoven Wool Scarf,A soft handwoven scarf made with natural wool fibers and a warm striped pattern.,44.45,1,https://via.placeholder.com/300x200?text=Handwoven+Wool+Scarf,true,true,Fiber Crafts
Macrame Wall Hanging,A decorative macrame hanging with layered knots and neutral cotton cord.,22.85,9,https://via.placeholder.com/300x200?text=Macrame+Wall+Hanging,false,true,Fiber Crafts
Embroidered Floral Hoop,A delicate embroidery hoop featuring detailed wildflowers on linen.,24.31,10,https://via.placeholder.com/300x200?text=Embroidered+Floral+Hoop,false,true,Fiber Crafts
Quilted Table Runner,A quilted table runner with geometric patchwork in muted seasonal tones.,21.89,9,https://via.placeholder.com/300x200?text=Quilted+Table+Runner,true,true,Fiber Crafts
Crocheted Baby Blanket,A lightweight crocheted blanket stitched in a soft ripple pattern.,32.38,2,https://via.placeholder.com/300x200?text=Crocheted+Baby+Blanket,false,true,Fiber Crafts
Tapestry Weave Panel,A small woven tapestry panel with earthy color blocking and texture.,47.05,2,https://via.placeholder.com/300x200?text=Tapestry+Weave+Panel,false,true,Fiber Crafts
Needle Felted Fox,A hand-shaped needle felted fox with carefully blended orange and cream wool.,34.12,9,https://via.placeholder.com/300x200?text=Needle+Felted+Fox,false,true,Fiber Crafts
Knotted Plant Hanger,A suspended plant hanger made from braided cotton rope and wooden beads.,46.44,14,https://via.placeholder.com/300x200?text=Knotted+Plant+Hanger,false,true,Fiber Crafts
Beaded Fringe Earrings,A pair of colorful fringe earrings made with glass seed beads.,55.89,4,https://via.placeholder.com/300x200?text=Beaded+Fringe+Earrings,true,true,Fiber Crafts
Punch Needle Cushion Cover,A textured punch needle cushion cover with abstract loops and stripes.,60.25,10,https://via.placeholder.com/300x200?text=Punch+Needle+Cushion+Cover,false,true,Fiber Crafts
Applique Wall Banner,A fabric wall banner featuring layered applique shapes and stitched accents.,81.50,10,https://via.placeholder.com/300x200?text=Applique+Wall+Banner,false,true,Fiber Crafts
Handspun Yarn Skein,A small-batch skein of handspun yarn with tonal shifts and soft loft.,57.23,1,https://via.placeholder.com/300x200?text=Handspun+Yarn+Skein,false,true,Fiber Crafts
Woven Coaster Set,A set of woven coasters with durable fibers and simple modern bands.,83.41,1,https://via.placeholder.com/300x200?text=Woven+Coaster+Set,false,true,Fiber Crafts
Lace Bookmark,A handmade lace bookmark with a delicate floral motif and fine threadwork.,55.30,3,https://via.placeholder.com/300x200?text=Lace+Bookmark,true,true,Fiber Crafts
Braided Rag Rug,A compact braided rug constructed from recycled fabric strips.,37.40,3,https://via.placeholder.com/300x200?text=Braided+Rag+Rug,false,true,Fiber Crafts
Sashiko Repair Sampler,A stitched sashiko sampler demonstrating visible mending techniques.,54.23,10,https://via.placeholder.com/300x200?text=Sashiko+Repair+Sampler,false,true,Fiber Crafts
Felted Wool Bowl,A wet-felted decorative bowl with a rounded shape and blended color finish.,38.67,14,https://via.placeholder.com/300x200?text=Felted+Wool+Bowl,false,true,Fiber Crafts
Tufted Mini Mirror Frame,A small mirror frame accented with tufted yarn in playful pastel colors.,63.69,2,https://via.placeholder.com/300x200?text=Tufted+Mini+Mirror+Frame,false,true,Fiber Crafts
Patchwork Tote Bag,A lined tote bag pieced from patterned fabric squares and sturdy handles.,56.97,11,https://via.placeholder.com/300x200?text=Patchwork+Tote+Bag,true,true,Fiber Crafts
Wrist Warmers,A pair of hand-knit wrist warmers with ribbing and thumb openings.,30.59,2,https://via.placeholder.com/300x200?text=Wrist+Warmers,false,true,Fiber Crafts
Woven Lavender Sachet,A woven sachet filled with dried lavender and finished with hand stitching.,54.70,2,https://via.placeholder.com/300x200?text=Woven+Lavender+Sachet,false,true,Fiber Crafts
Silk Ribbon Embroidery,A botanical embroidery made with silk ribbon petals and raised details.,55.81,10,https://via.placeholder.com/300x200?text=Silk+Ribbon+Embroidery,false,true,Fiber Crafts
Crochet Market Bag,An expandable crochet bag with openwork stitches for everyday shopping.,31.80,11,https://via.placeholder.com/300x200?text=Crochet+Market+Bag,false,true,Fiber Crafts
Fabric Collage Panel,"A stitched fabric collage combining scraps, thread sketching, and layered texture.",53.63,13,https://via.placeholder.com/300x200?text=Fabric+Collage+Panel,true,true,Fiber Crafts
Dino,A small sculpture of a dinosaur made of Elm wood.,80.55,10,https://via.placeholder.com/300x200?text=Dino,true,true,Sculptures
Clay Vase,A handmade clay vase with a smooth matte finish and gently curved silhouette.,168.90,6,https://via.placeholder.com/300x200?text=Clay+Vase,true,true,Sculptures
Wood Carved Owl,A detailed owl sculpture carved from oak with expressive feather textures.,78.47,13,https://via.placeholder.com/300x200?text=Wood+Carved+Owl,false,true,Sculptures
Stone Abstract Form,A modern abstract sculpture made from polished stone with flowing lines.,61.07,13,https://via.placeholder.com/300x200?text=Stone+Abstract+Form,false,true,Sculptures
Ceramic Seed Pod,A ceramic study inspired by seed pods with cut openings and soft glaze.,70.39,10,https://via.placeholder.com/300x200?text=Ceramic+Seed+Pod,true,true,Sculptures
Bronze Gesture Figure,A small bronze figure capturing motion with an elongated expressive pose.,78.54,8,https://via.placeholder.com/300x200?text=Bronze+Gesture+Figure,false,true,Sculptures
Driftwood Horse,A horse form assembled from driftwood pieces and natural grain patterns.,161.89,12,https://via.placeholder.com/300x200?text=Driftwood+Horse,false,true,Sculptures
Plaster Torso Study,A simplified torso sculpture with hand-shaped planes and subtle tool marks.,100.08,10,https://via.placeholder.com/300x200?text=Plaster+Torso+Study,false,true,Sculptures
Wire Bird in Flight,A suspended wire sculpture suggesting a bird gliding with open wings.,177.13,2,https://via.placeholder.com/300x200?text=Wire+Bird+in+Flight,false,true,Sculptures
Basalt Cairn Stack,A stacked stone sculpture balancing smooth basalt shapes in a vertical form.,109.23,3,https://via.placeholder.com/300x200?text=Basalt+Cairn+Stack,true,true,Sculptures
Resin Coral Form,A translucent resin sculpture inspired by branching coral structures.,144.79,3,https://via.placeholder.com/300x200?text=Resin+Coral+Form,false,true,Sculptures
Terracotta Face Mask,A terracotta wall mask with stylized features and carved line details.,170.32,7,https://via.placeholder.com/300x200?text=Terracotta+Face+Mask,false,true,Sculptures
Soapstone Bear,A compact soapstone bear sculpture polished to a satin surface.,40.69,11,https://via.placeholder.com/300x200?text=Soapstone+Bear,false,true,Sculptures
Marble Spiral,A spiral sculpture carved with a twisting center and clean edges.,46.25,9,https://via.placeholder.com/300x200?text=Marble+Spiral,false,true,Sculptures
Carved Cedar Leaf,A cedar leaf study with vein detail and a warm natural finish.,118.09,15,https://via.placeholder.com/300x200?text=Carved+Cedar+Leaf,true,true,Sculptures
Ceramic Vessel Pair,A pair of sculptural ceramic vessels intended as display objects.,153.66,6,https://via.placeholder.com/300x200?text=Ceramic+Vessel+Pair,false,true,Sculptures
Metal Loop Composition,A looping steel composition with intersecting arcs and balanced negative space.,135.82,10,https://via.placeholder.com/300x200?text=Metal+Loop+Composition,false,true,Sculptures
Limestone Arch,A small limestone sculpture shaped into an abstract arch and inner void.,107.02,13,https://via.placeholder.com/300x200?text=Limestone+Arch,false,true,Sculptures
Paper Pulp Bust,A lightweight bust made from layered paper pulp and painted finish.,101.15,14,https://via.placeholder.com/300x200?text=Paper+Pulp+Bust,false,true,Sculptures
Concrete Mini Monolith,A cast concrete form with sharp geometry and speckled aggregate.,48.57,5,https://via.placeholder.com/300x200?text=Concrete+Mini+Monolith,true,true,Sculptures
Glass Pebble Tower,A fused glass tower made from rounded pebble-like stacked elements.,103.74,11,https://via.placeholder.com/300x200?text=Glass+Pebble+Tower,false,true,Sculptures
Branch Totem,A totem assembled from carved branch sections with incised surface patterns.,44.42,12,https://via.placeholder.com/300x200?text=Branch+Totem,false,true,Sculptures
Porcelain Wave,A porcelain sculpture evoking a curling wave with a glossy white surface.,136.72,11,https://via.placeholder.com/300x200?text=Porcelain+Wave,false,true,Sculptures
Slate Mountain Relief,A carved slate relief suggesting a layered mountain horizon.,118.80,11,https://via.placeholder.com/300x200?text=Slate+Mountain+Relief,false,true,Sculptures
Found Object Figure,A figure built from reclaimed hardware and salvaged metal fragments.,154.18,5,https://via.placeholder.com/300x200?text=Found+Object+Figure,true,true,Sculptures
Acrylic Landscape Painting,A vibrant painting of a mountain landscape with layered blue ridges.,123.16,15,https://via.placeholder.com/300x200?text=Acrylic+Landscape+Painting,true,true,Original Physical Art
Portrait Sketch,A hand-drawn portrait created in graphite with soft shading and fine detail.,116.92,1,https://via.placeholder.com/300x200?text=Portrait+Sketch,true,true,Original Physical Art
Mixed Media Canvas,"A layered artwork combining paint, paper, and textured modeling paste.",152.28,6,https://via.placeholder.com/300x200?text=Mixed+Media+Canvas,false,true,Original Physical Art
Watercolor Meadow,A watercolor scene of a summer meadow with loose floral brushwork.,51.85,2,https://via.placeholder.com/300x200?text=Watercolor+Meadow,false,true,Original Physical Art
Ink Botanical Study,An original botanical illustration rendered in ink and wash.,94.18,4,https://via.placeholder.com/300x200?text=Ink+Botanical+Study,true,true,Original Physical Art
Charcoal Figure Study,"A charcoal drawing focused on gesture, shadow, and human form.",129.87,3,https://via.placeholder.com/300x200?text=Charcoal+Figure+Study,false,true,Original Physical Art
Abstract Color Field,A large abstract painting built from overlapping bands of saturated color.,125.99,7,https://via.placeholder.com/300x200?text=Abstract+Color+Field,false,true,Original Physical Art
Pastel Seascape,A pastel artwork of waves and sky blended with soft atmospheric tones.,80.82,14,https://via.placeholder.com/300x200?text=Pastel+Seascape,false,true,Original Physical Art
City Rooftops Painting,An urban rooftop scene painted with warm evening light and crisp perspective.,94.55,3,https://via.placeholder.com/300x200?text=City+Rooftops+Painting,false,true,Original Physical Art
Gouache Fruit Still Life,A still life featuring fruit and ceramics painted in opaque gouache.,88.39,9,https://via.placeholder.com/300x200?text=Gouache+Fruit+Still+Life,true,true,Original Physical Art
Collage Portrait,A portrait assembled from painted papers and ink line work.,66.12,3,https://via.placeholder.com/300x200?text=Collage+Portrait,false,true,Original Physical Art
Monotype Forest Print,A one-of-a-kind monotype of a forest interior with layered textures.,136.51,14,https://via.placeholder.com/300x200?text=Monotype+Forest+Print,false,true,Original Physical Art
Oil Study of Pears,A small oil painting of pears arranged beside a folded cloth.,101.53,12,https://via.placeholder.com/300x200?text=Oil+Study+of+Pears,false,true,Original Physical Art
Desert Horizon Panel,A narrow panel painting showing a minimalist desert horizon at dusk.,83.99,6,https://via.placeholder.com/300x200?text=Desert+Horizon+Panel,false,true,Original Physical Art
Bird Illustration,An original bird illustration with careful feather pattern and color variation.,118.75,7,https://via.placeholder.com/300x200?text=Bird+Illustration,true,true,Original Physical Art
Acrylic Koi Study,A painting of koi fish circling through reflective water.,154.51,3,https://via.placeholder.com/300x200?text=Acrylic+Koi+Study,false,true,Original Physical Art
Marker Architecture Sketch,A hand-rendered architectural sketch with marker shading and line accents.,40.79,3,https://via.placeholder.com/300x200?text=Marker+Architecture+Sketch,false,true,Original Physical Art
Sunflower Still Life,A cheerful still life of sunflowers in a patterned ceramic vase.,60.15,4,https://via.placeholder.com/300x200?text=Sunflower+Still+Life,false,true,Original Physical Art
Moonlit Lake Painting,A nocturnal landscape featuring moonlight reflected across still water.,31.57,14,https://via.placeholder.com/300x200?text=Moonlit+Lake+Painting,false,true,Original Physical Art
Linocut Orchard Scene,An original linocut inked by hand with an orchard and rolling hills.,106.59,5,https://via.placeholder.com/300x200?text=Linocut+Orchard+Scene,true,true,Original Physical Art
Ink Portrait Profile,A portrait profile built from bold brush lines and subtle wash tones.,66.65,3,https://via.placeholder.com/300x200?text=Ink+Portrait+Profile,false,true,Original Physical Art
Small Barn Landscape,A rural landscape centered on a weathered red barn and open field.,84.46,6,https://via.placeholder.com/300x200?text=Small+Barn+Landscape,false,true,Original Physical Art
Abstract Line Composition,"A contemporary composition of intersecting lines, shapes, and muted blocks.",109.28,6,https://via.placeholder.com/300x200?text=Abstract+Line+Composition,false,true,Original Physical Art
Floral Acrylic Panel,A floral acrylic painting on panel with bright blooms and dark foliage.,153.90,12,https://via.placeholder.com/300x200?text=Floral+Acrylic+Panel,false,true,Original Physical Art
Winter Street Scene,"An original street scene with snow, storefront light, and pedestrian movement.",141.70,10,https://via.placeholder.com/300x200?text=Winter+Street+Scene,true,true,Original Physical Art
Vintage Poster Print,A high-quality print of a vintage travel poster with bold retro lettering.,51.02,12,https://via.placeholder.com/300x200?text=Vintage+Poster+Print,true,true,Prints
Botanical Art Print,A minimalist botanical print featuring clean linework and soft green tones.,17.97,15,https://via.placeholder.com/300x200?text=Botanical+Art+Print,true,true,Prints
City Photography Print,A black and white cityscape photograph printed on archival matte paper.,62.90,14,https://via.placeholder.com/300x200?text=City+Photography+Print,false,true,Prints
Moon Phases Print,A celestial print charting the moon phases with fine gold-toned details.,52.43,9,https://via.placeholder.com/300x200?text=Moon+Phases+Print,false,true,Prints
Wildflower Study Print,A reproduction print of a painted wildflower study in soft pastel colors.,36.58,7,https://via.placeholder.com/300x200?text=Wildflower+Study+Print,true,true,Prints
Geometric Landscape Print,A stylized landscape print built from simplified geometric shapes.,36.68,8,https://via.placeholder.com/300x200?text=Geometric+Landscape+Print,false,true,Prints
Cat Illustration Print,A whimsical print of a lounging cat in a bright interior setting.,49.89,1,https://via.placeholder.com/300x200?text=Cat+Illustration+Print,false,true,Prints
Blue Heron Photo Print,A wildlife photograph print capturing a blue heron beside reeds.,25.48,4,https://via.placeholder.com/300x200?text=Blue+Heron+Photo+Print,false,true,Prints
Retro Kitchen Poster,A playful poster print inspired by mid-century kitchen advertisements.,39.23,2,https://via.placeholder.com/300x200?text=Retro+Kitchen+Poster,false,true,Prints
Minimal Line Face Print,A modern line drawing print of a face on textured off-white background.,33.70,1,https://via.placeholder.com/300x200?text=Minimal+Line+Face+Print,true,true,Prints
Forest Mist Photograph,A moody photograph print of pines disappearing into morning fog.,20.63,10,https://via.placeholder.com/300x200?text=Forest+Mist+Photograph,false,true,Prints
Ocean Map Print,A decorative print styled after historical ocean charts and compass marks.,23.32,2,https://via.placeholder.com/300x200?text=Ocean+Map+Print,false,true,Prints
Cyanotype Fern Print,A deep blue print of fern silhouettes in a cyanotype-inspired style.,67.19,10,https://via.placeholder.com/300x200?text=Cyanotype+Fern+Print,false,true,Prints
Sunrise Typography Poster,A poster print combining layered sunrise colors with bold typography.,16.40,14,https://via.placeholder.com/300x200?text=Sunrise+Typography+Poster,false,true,Prints
Mountain Reflection Print,A landscape print showing mirrored mountains above a calm lake.,26.44,7,https://via.placeholder.com/300x200?text=Mountain+Reflection+Print,true,true,Prints
Jazz Night Poster,A music poster print with vintage-inspired lettering and deep indigo tones.,23.17,5,https://via.placeholder.com/300x200?text=Jazz+Night+Poster,false,true,Prints
Orange Grove Print,A bright print of an orange grove with Mediterranean-inspired architecture.,67.55,10,https://via.placeholder.com/300x200?text=Orange+Grove+Print,false,true,Prints
Railway Station Photo,An architectural photograph print of a historic railway station interior.,35.03,2,https://via.placeholder.com/300x200?text=Railway+Station+Photo,false,true,Prints
Mushroom Field Guide Print,An illustrated print referencing classic mushroom field guide plates.,21.34,8,https://via.placeholder.com/300x200?text=Mushroom+Field+Guide+Print,false,true,Prints
Abstract Shapes Poster,A contemporary poster print featuring abstract shapes in earthy colors.,69.62,8,https://via.placeholder.com/300x200?text=Abstract+Shapes+Poster,true,true,Prints
Night Sky Photography,A star-filled night sky photograph printed with crisp contrast.,41.42,5,https://via.placeholder.com/300x200?text=Night+Sky+Photography,false,true,Prints
Birds of the Coast Print,An educational coastal bird print with labeled illustrated species.,19.72,2,https://via.placeholder.com/300x200?text=Birds+of+the+Coast+Print,false,true,Prints
Still Life Giclee,A giclee print reproducing a still life with fruit and patterned textiles.,56.23,12,https://via.placeholder.com/300x200?text=Still+Life+Giclee,false,true,Prints
Modern Blocks Poster,A modern poster design composed of stacked color blocks and clean spacing.,29.56,14,https://via.placeholder.com/300x200?text=Modern+Blocks+Poster,false,true,Prints
Garden Window Print,A cozy interior print showing potted plants in a sunlit window.,53.06,9,https://via.placeholder.com/300x200?text=Garden+Window+Print,true,true,Prints
